Tamanho,Bubble Sort,Insertion Sort,Heap Sort,Merge Sort,Quick Sort,Radix Sort
1,0,0,0,0,0,4
2,0,0,5,3,2,12
3,0,0,11,7,5,18
4,0,0,20,12,9,24
5,0,0,29,19,13,30
6,1,0,40,25,18,36
7,1,0,48,32,23,42
8,1,0,63,39,28,48
9,1,0,75,48,36,54
10,2,0,89,56,45,60
11,3,2,98,64,47,66
12,5,2,115,73,59,72
13,5,2,127,82,62,78
14,5,2,143,91,71,84
15,4,2,155,100,76,90
16,10,6,172,109,90,96
17,8,4,188,120,94,102
18,9,4,202,131,103,108
19,13,6,217,140,104,114
20,14,6,236,151,121,120
21,18,10,248,162,135,126
22,17,8,266,173,137,132
23,19,10,277,183,140,138
24,22,10,297,193,157,144
25,18,10,313,204,171,150
26,23,14,332,216,167,156
27,29,14,350,226,180,162
28,29,14,364,238,189,168
29,33,16,383,249,208,174
30,27,14,397,259,208,182
31,36,16,411,270,211,186
32,42,20,435,281,233,196
33,40,22,452,293,233,200
34,40,18,473,306,250,204
35,46,20,482,319,253,214
36,48,26,505,331,266,220
37,39,18,522,343,281,224
38,54,26,545,355,283,230
39,55,20,561,368,299,234
40,58,30,580,380,308,240
41,60,28,593,392,334,248
42,64,34,619,407,333,256
43,71,30,639,418,344,262
44,52,30,654,432,363,264
45,78,38,672,443,369,270
46,64,34,697,456,374,276
47,70,36,712,470,366,284
48,91,42,736,481,418,294
49,97,46,753,494,407,294
50,98,46,777,507,413,306
51,99,48,797,519,440,316
52,105,54,815,532,449,312
53,101,48,833,546,450,320
54,111,56,847,559,472,334
55,114,52,868,572,471,330
56,125,56,891,585,479,342
57,101,42,912,598,482,352
58,116,54,935,612,505,354
59,126,66,947,625,535,354
60,142,62,975,636,504,368
61,127,62,988,650,559,370
62,131,60,1011,661,557,384
63,151,64,1034,675,567,390
64,158,80,1052,687,572,384
65,153,70,1073,704,611,390
66,136,72,1089,718,622,396
67,167,70,1114,729,621,414
68,183,84,1140,745,634,420
69,187,84,1163,761,658,418
70,136,70,1174,775,671,428
71,190,86,1201,790,669,426
72,191,74,1224,803,676,450
73,195,92,1239,817,703,452
74,202,88,1266,831,713,448
75,211,98,1289,847,722,454
76,230,110,1313,861,751,466
77,215,96,1324,876,739,472
78,233,96,1348,891,749,472
79,203,100,1375,905,759,484
80,248,122,1397,921,781,484
81,265,120,1415,934,805,506
82,214,120,1445,949,798,512
83,262,110,1456,960,814,508
84,267,130,1486,977,820,520
85,260,132,1515,992,841,520
86,278,124,1524,1008,841,526
87,313,140,1553,1023,877,538
88,314,146,1570,1037,882,544
89,294,108,1597,1051,873,538
90,311,134,1614,1065,909,552
91,347,154,1636,1081,895,552
92,293,138,1659,1094,950,576
93,326,156,1677,1110,947,576
94,320,130,1714,1125,954,594
95,357,170,1726,1139,971,588
96,363,168,1758,1155,1006,582
97,331,150,1773,1170,1012,606
98,362,168,1800,1184,947,614
99,392,190,1815,1199,1023,600
100,375,168,1841,1214,1027,612
101,410,186,1859,1228,1040,646
102,422,176,1885,1244,1071,638
103,374,150,1915,1259,1086,644
104,332,176,1940,1272,1099,624
105,387,186,1955,1287,1080,658
106,408,186,1976,1303,1090,642
107,456,184,1996,1317,1143,648
108,395,168,2016,1333,1138,668
109,463,220,2044,1346,1167,674
110,485,230,2063,1363,1156,696
111,457,218,2091,1377,1199,688
112,477,230,2116,1393,1180,708
113,482,246,2131,1408,1190,692
114,516,232,2160,1422,1183,714
115,502,244,2178,1437,1226,704
116,524,242,2204,1453,1213,742
117,503,232,2219,1467,1251,716
118,563,236,2248,1482,1285,738
119,529,240,2270,1496,1269,720
120,573,248,2295,1512,1313,776
121,533,242,2322,1527,1318,766
122,545,250,2339,1539,1329,748
123,555,264,2366,1558,1328,746
124,612,272,2389,1573,1358,768
125,610,244,2407,1587,1398,758
126,542,268,2437,1602,1394,806
127,568,264,2448,1614,1426,794
128,629,300,2475,1631,1419,818
129,563,280,2499,1646,1426,816
130,673,280,2531,1665,1432,806
131,655,306,2552,1680,1438,786
132,614,258,2578,1697,1492,818
133,721,316,2602,1713,1496,832
134,669,310,2622,1727,1493,838
135,649,298,2637,1746,1546,846
136,765,324,2671,1763,1514,834
137,733,304,2698,1781,1523,848
138,679,300,2719,1798,1579,882
139,718,312,2749,1811,1599,870
140,774,354,2778,1828,1569,858
141,781,312,2796,1844,1632,902
142,785,328,2825,1862,1634,888
143,759,324,2846,1877,1648,914
144,740,336,2865,1893,1626,882
145,801,344,2902,1910,1683,898
146,771,314,2919,1926,1691,904
147,810,344,2948,1944,1678,920
148,768,370,2969,1962,1662,956
149,851,390,2993,1979,1680,932
150,900,388,3024,1993,1700,940
151,757,354,3043,2012,1789,936
152,841,382,3066,2025,1737,952
153,925,432,3090,2043,1740,928
154,867,398,3124,2061,1777,1006
155,916,416,3139,2076,1759,1022
156,875,406,3166,2093,1819,966
157,847,384,3198,2110,1831,972
158,971,414,3204,2124,1799,968
159,932,410,3245,2143,1802,996
160,977,416,3265,2158,1855,992
161,955,438,3284,2174,1866,1008
162,1013,460,3309,2192,1942,992
163,1071,446,3339,2208,1899,1032
164,1086,454,3368,2225,1930,1016
165,1044,458,3392,2238,2027,1044
166,1092,502,3416,2257,1978,1084
167,1090,430,3443,2275,1942,1046
168,1032,416,3466,2291,1981,1064
169,1161,508,3487,2309,1992,1070
170,1123,478,3524,2324,2001,1076
171,1193,528,3549,2340,2003,1082
172,1071,500,3572,2360,2032,1146
173,1119,496,3586,2373,2063,1130
174,1102,496,3622,2387,2040,1078
175,1256,552,3636,2410,2066,1096
176,1021,502,3659,2424,2122,1090
177,1230,536,3695,2439,2175,1108
178,1202,516,3713,2459,2100,1198
179,1291,554,3745,2475,2168,1120
180,1214,530,3763,2491,2127,1140
181,1257,570,3789,2509,2192,1194
182,1309,518,3821,2523,2225,1116
183,1268,558,3846,2542,2211,1134
184,1301,564,3874,2558,2290,1116
185,1302,580,3890,2575,2186,1170
186,1294,566,3928,2590,2256,1164
187,1316,598,3957,2609,2296,1134
188,1318,580,3968,2624,2272,1190
189,1441,638,3987,2639,2293,1284
190,1425,582,4028,2657,2355,1216
191,1385,642,4046,2674,2321,1196
192,1466,616,4084,2693,2340,1216
193,1354,648,4095,2708,2329,1222
194,1458,638,4122,2726,2414,1240
195,1428,580,4155,2741,2363,1234
196,1341,614,4174,2758,2381,1254
197,1545,724,4198,2773,2421,1246
198,1560,624,4224,2791,2447,1226
199,1514,666,4248,2808,2426,1246
200,1572,676,4275,2824,2518,1266
201,1637,662,4311,2842,2499,1246
202,1585,638,4321,2861,2535,1292
203,1608,658,4346,2877,2477,1326
204,1563,758,4381,2894,2481,1332
205,1625,680,4393,2911,2608,1338
206,1592,710,4428,2929,2483,1304
207,1704,716,4442,2944,2531,1310
208,1682,742,4487,2958,2551,1302
209,1665,778,4493,2976,2565,1350
210,1703,732,4536,2994,2601,1358
211,1716,744,4548,3008,2624,1336
212,1719,738,4589,3028,2658,1342
213,1875,782,4608,3047,2636,1348
214,1712,696,4643,3062,2659,1382
215,1850,804,4652,3079,2744,1360
216,1923,792,4693,3094,2721,1396
217,1811,742,4693,3112,2760,1402
218,1861,828,4743,3130,2735,1380
219,1967,824,4755,3144,2701,1372
220,1965,848,4790,3162,2756,1422
221,1865,826,4813,3177,2791,1472
222,1916,870,4834,3197,2839,1390
223,1999,802,4881,3215,2794,1426
224,2011,872,4904,3232,2798,1478
225,1997,874,4914,3245,2941,1410
226,2008,820,4939,3269,2838,1520
227,1881,794,4969,3282,2898,1436
228,2160,930,4992,3299,2835,1428
229,2174,898,5010,3316,2853,1434
230,2034,878,5060,3334,2880,1456
231,1965,848,5082,3348,2875,1492
232,2138,934,5080,3365,2949,1484
233,2101,908,5119,3381,2893,1536
234,2194,1002,5154,3399,2933,1434
235,1901,900,5179,3416,2962,1550
236,2158,886,5210,3436,3039,1494
237,2264,956,5226,3450,3008,1484
238,2195,930,5254,3466,2983,1522
239,2310,954,5272,3484,3114,1496
240,2252,968,5304,3500,3130,1584
241,2241,962,5322,3519,3025,1526
242,2419,998,5355,3533,3133,1596
243,2322,1014,5367,3552,3153,1522
244,2252,972,5401,3570,3196,1626
245,2404,1052,5437,3590,3195,1568
246,2329,968,5461,3603,3196,1558
247,2462,1070,5496,3621,3175,1546
248,2393,1032,5517,3636,3155,1536
249,2339,1008,5553,3654,3286,1560
250,2526,1086,5561,3670,3229,1700
251,2327,954,5588,3688,3218,1690
252,2326,1070,5629,3706,3333,1662
253,2518,1172,5641,3724,3310,1636
254,2562,1076,5666,3740,3357,1726
255,2590,1064,5693,3759,3281,1648
256,2517,1158,5722,3774,3401,1638
257,2652,1124,5755,3793,3424,1592
258,2357,1100,5785,3810,3433,1736
259,2656,1080,5794,3830,3394,1656
260,2751,1186,5820,3848,3393,1646
261,2744,1120,5858,3866,3449,1670
262,2707,1186,5899,3884,3498,1658
263,2716,1186,5906,3901,3436,1718
264,2831,1210,5944,3922,3519,1742
265,2626,1238,5967,3938,3508,1696
266,2841,1196,6002,3958,3446,1684
267,2890,1188,6015,3975,3531,1726
268,2761,1214,6043,3996,3480,1696
269,2811,1244,6073,4012,3518,1702
270,3028,1322,6099,4030,3566,1800
271,2832,1218,6127,4050,3566,1770
272,3017,1266,6164,4069,3574,1812
273,2992,1268,6174,4086,3570,1692
274,2752,1300,6224,4107,3748,1752
275,3032,1278,6230,4124,3604,1814
276,3000,1380,6265,4141,3656,1820
277,2962,1270,6291,4161,3591,1808
278,3010,1238,6332,4178,3619,1760
279,3210,1322,6342,4194,3710,1748
